YEAR,ECONOMIC_SECTOR,RISK_COUNTRY,MEAN_WEIGHTED_INTENSITY,MED_WEIGHTED_INTENSITY,TOTAL_HOLDINGS,TOTAL_HOLDINGS(USD),SECTOR_CSPP_HOLDINGS,SECTOR_ELIGIBLE_CSPP_UNIVERSE,COUNTRY_CSPP_HOLDINGS,COUNTRY_ELIGIBLE_CSPP_UNIVERSE,WEIGHTS,SUM_WEIGHTS,MEAN_WACI,MEDIAN_WACI
2018,Other sectors,France,6053.72236631919,150.84,160838.5,168880,0.09,0.08499999999999999,0.3,0.31,0.027,0.6909,236.57621058129706,5.894745983499783
2018,Other sectors,Germany,1741.6955601410084,150.84,160838.5,168880,0.09,0.08499999999999999,0.25,0.25,0.0225,0.6909,56.72043726034548,4.912288319583152
2018,Other sectors,Italy,951.3185963963728,150.84,160838.5,168880,0.09,0.08499999999999999,0.12,0.115,0.010799999999999999,0.6909,14.870807412188197,2.357898393399913
2018,Other sectors,Netherlands,21809.94245841895,2774.259943576906,160838.5,168880,0.09,0.08499999999999999,0.06,0.055,0.005399999999999999,0.6909,170.46416163766438,21.683316971074383
2018,Other sectors,Other (euro area),138344.90774625452,150.84000000000003,160838.5,168880,0.09,0.08499999999999999,0.06,0.065,0.005399999999999999,0.6909,1081.2889011865311,1.1789491966999568
2018,Other sectors,Other (non-euro area),38.90393520024736,38.90393520024736,160838.5,168880,0.09,0.08499999999999999,0.03,0.04,0.0026999999999999997,0.6909,0.15203448406523065,0.15203448406523065
2018,Other sectors,Spain,4468.164540471498,3118.1049069373944,160838.5,168880,0.09,0.08499999999999999,0.1,0.09,0.009,0.6909,58.20448815203862,40.61795362923223
2018,Real estate,Belgium,1.0525253883919565,1.0525253883919565,160838.5,168880,0.06,0.07,0.05,0.05,0.003,0.6909,0.004570236163230381,0.004570236163230381
2018,Real estate,France,2397.38426828756,86.6,160838.5,168880,0.06,0.07,0.3,0.31,0.018,0.6909,62.45899092368806,2.2561875814155448
2018,Real estate,Germany,8.816219494261452,0.28467233309483925,160838.5,168880,0.06,0.07,0.25,0.25,0.015,0.6909,0.1914072838528322,0.006180467500973497
2018,Real estate,Italy,86.6,86.6,160838.5,168880,0.06,0.07,0.12,0.115,0.0072,0.6909,0.902475032566218,0.902475032566218
2018,Real estate,Netherlands,86.60000000000001,86.60000000000001,160838.5,168880,0.06,0.07,0.06,0.055,0.0036,0.6909,0.45123751628310904,0.45123751628310904
2018,Real estate,Other (euro area),100.708108742869,86.6,160838.5,168880,0.06,0.07,0.06,0.065,0.0036,0.6909,0.5247491554122571,0.451237516283109
2018,Telecommunication,France,27.637405480989226,29.894043450524908,160838.5,168880,0.09,0.08,0.3,0.31,0.027,0.6909,1.0800549254403085,1.1682431222523846
2018,Telecommunication,Germany,28.920000000000005,28.920000000000005,160838.5,168880,0.09,0.08,0.25,0.25,0.0225,0.6909,0.9418150238818933,0.9418150238818933
2018,Telecommunication,Italy,28.919999999999998,28.919999999999998,160838.5,168880,0.09,0.08,0.12,0.115,0.010799999999999999,0.6909,0.4520712114633087,0.4520712114633087
2018,Telecommunication,Netherlands,4.212834326843905,4.212834326843905,160838.5,168880,0.09,0.08,0.06,0.055,0.005399999999999999,0.6909,0.03292705943690416,0.03292705943690416
2018,Telecommunication,Other (euro area),146.6694256435762,28.920000000000005,160838.5,168880,0.09,0.08,0.06,0.065,0.005399999999999999,0.6909,1.1463524366410645,0.22603560573165438
2018,Telecommunication,Spain,7.034379825209327,7.034379825209327,160838.5,168880,0.09,0.08,0.1,0.09,0.009,0.6909,0.09163325868705159,0.09163325868705159
2018,Utilities,Belgium,2909.17,2909.17,160838.5,168880,0.15,0.17,0.05,0.05,0.0075,0.6909,31.58022145028224,31.58022145028224
2018,Utilities,France,3454.6540524899756,1842.2227538494094,160838.5,168880,0.15,0.17,0.3,0.31,0.045,0.6909,225.01003381393673,119.98845552644872
2018,Utilities,Germany,1369.1517044349614,230.71292794029858,160838.5,168880,0.15,0.17,0.25,0.25,0.0375,0.6909,74.31348808266182,12.522412502187288
2018,Utilities,Italy,534.2670510839789,512.5882702353291,160838.5,168880,0.15,0.17,0.12,0.115,0.018,0.6909,13.919245794632538,13.354449072566108
2018,Utilities,Netherlands,11926.175790570853,2909.17,160838.5,168880,0.15,0.17,0.06,0.055,0.009,0.6909,155.35617616896465,37.89626574033869
2018,Utilities,Other (euro area),2484.3238219702375,2909.17,160838.5,168880,0.15,0.17,0.06,0.065,0.009,0.6909,32.36201244424973,37.89626574033869
2019,Automotive and parts,Germany,10601.77,10601.77,178566.1666666667,187494,0.09,0.11,0.25,0.27,0.0225,0.6805,350.53611315209406,350.53611315209406
2019,Beverages,Belgium,61.3590091702165,61.3590091702165,178566.1666666667,187494,0.05,0.04,0.045,0.045,0.00225,0.6805,0.2028769590492096,0.2028769590492096
2019,Beverages,France,30.740702384941066,30.740702384941063,178566.1666666667,187494,0.05,0.04,0.3,0.315,0.015,0.6805,0.6776054897488846,0.6776054897488846
2019,Beverages,Germany,7.803178838574396,7.803178838574396,178566.1666666667,187494,0.05,0.04,0.25,0.27,0.0125,0.6805,0.1433353938018809,0.1433353938018809
2019,Beverages,Italy,143.18467596547268,143.18467596547268,178566.1666666667,187494,0.05,0.04,0.11,0.1,0.0055000000000000005,0.6805,1.157260422939162,1.157260422939162
2019,Beverages,Netherlands,61.3590091702165,61.3590091702165,178566.1666666667,187494,0.05,0.04,0.06,0.055,0.0029999999999999996,0.6805,0.27050261206561277,0.27050261206561277
2019,Beverages,Spain,42.7,42.7,178566.1666666667,187494,0.05,0.04,0.1,0.08,0.005000000000000001,0.6805,0.31373989713446004,0.31373989713446004
2019,Chemicals,Belgium,1063.9729131279794,1063.9729131279794,178566.1666666667,187494,0.04,0.03,0.045,0.045,0.0018,0.6805,2.814329527744839,2.814329527744839
2019,Chemicals,France,22.663350669177937,22.663350669177937,178566.1666666667,187494,0.04,0.03,0.3,0.315,0.011999999999999999,0.6805,0.3996476238503089,0.3996476238503089
2019,Chemicals,Germany,7961.5013476758895,10601.77,178566.1666666667,187494,0.04,0.03,0.25,0.27,0.01,0.6805,116.99487652719898,155.79382806759736
2019,Construction & Materials,France,234.2807398225088,132.83752489312982,178566.1666666667,187494,0.06,0.05,0.3,0.315,0.018,0.6805,6.196992383255192,3.5137038178932207
2019,Construction & Materials,Germany,86.6271775586314,86.6271775586314,178566.1666666667,187494,0.06,0.05,0.25,0.27,0.015,0.6805,1.9094895861564598,1.9094895861564598
2019,Construction & Materials,Italy,17.85284299239315,17.85284299239315,178566.1666666667,187494,0.06,0.05,0.11,0.1,0.0066,0.6805,0.17315027736927963,0.17315027736927963
2019,Construction & Materials,Other (euro area),53.27,53.27,178566.1666666667,187494,0.06,0.05,0.06,0.07,0.0036,0.6805,0.2818104335047759,0.2818104335047759
2019,Energy and basic resources,Belgium,82.93947983842392,82.93947983842392,178566.1666666667,187494,0.06,0.06,0.045,0.045,0.0026999999999999997,0.6805,0.32907655483283554,0.32907655483283554
2019,Energy and basic resources,France,445.40088159652817,445.40088159652817,178566.1666666667,187494,0.06,0.06,0.3,0.315,0.018,0.6805,11.781360571252765,11.781360571252765
2019,Energy and basic resources,Germany,379.88694380462596,316.8833481848309,178566.1666666667,187494,0.06,0.06,0.25,0.27,0.015,0.6805,8.373701920748552,6.9849378732879694
2019,Energy and basic resources,Italy,533.5005628275999,533.5005628275999,178566.1666666667,187494,0.06,0.06,0.11,0.1,0.0066,0.6805,5.17428907371368,5.17428907371368
2019,Energy and basic resources,Netherlands,140.98168804312957,71.99045678418202,178566.1666666667,187494,0.06,0.06,0.06,0.055,0.0036,0.6805,0.7458252416682828,0.38084591392072775
2019,Energy and basic resources,Other (euro area),511.0460965051305,494.768105748698,178566.1666666667,187494,0.06,0.06,0.06,0.07,0.0036,0.6805,2.7035502533702713,2.6174359745706286
2019,Energy and basic resources,Spain,689.6800000000001,689.6800000000001,178566.1666666667,187494,0.06,0.06,0.1,0.08,0.005999999999999999,0.6805,6.080940484937545,6.080940484937545
2019,Food,France,47.383783462483436,52.35046751807881,178566.1666666667,187494,0.04,0.03,0.3,0.315,0.011999999999999999,0.6805,0.8355700243200604,0.9231529907670032
2019,Food,Germany,17.931266450413545,17.23711674333077,178566.1666666667,187494,0.04,0.03,0.25,0.27,0.01,0.6805,0.26350134387088237,0.2533007603722376
2019,Food,Netherlands,77.85182355400967,30.79973409710193,178566.1666666667,187494,0.04,0.03,0.06,0.055,0.0024,0.6805,0.27456925279885847,0.10862507249528967
2019,Food,Other (non-euro area),418.95858111932677,418.95858111932677,178566.1666666667,187494,0.04,0.03,0.035,0.035,0.0014000000000000004,0.6805,0.861928014058865,0.861928014058865
2019,Infrastructure and transportation,France,2564.133043375648,356.39,178566.1666666667,187494,0.115,0.125,0.3,0.315,0.0345,0.6805,129.9964584812048,18.0682659808964
2019,Infrastructure and transportation,Germany,169.06989658696804,94.70502594757193,178566.1666666667,187494,0.115,0.125,0.25,0.27,0.02875,0.6805,7.142923625092331,4.001130780297859
2019,Infrastructure and transportation,Italy,162.32540477313879,31.91694500878069,178566.1666666667,187494,0.115,0.125,0.11,0.1,0.012650000000000002,0.6805,3.017511198207503,0.5933127911257543
2019,Infrastructure and transportation,Netherlands,230.23872680974898,356.39,178566.1666666667,187494,0.115,0.125,0.06,0.055,0.0069,0.6805,2.3345293387028185,3.6136531961792797
2019,Infrastructure and transportation,Other (euro area),356.39,356.39000000000004,178566.1666666667,187494,0.115,0.125,0.06,0.07,0.0069,0.6805,3.6136531961792797,3.6136531961792806
2019,Infrastructure and transportation,Spain,84.12497809553851,84.1249780955385,178566.1666666667,187494,0.115,0.125,0.1,0.08,0.011500000000000003,0.6805,1.4216564997776535,1.421656499777653
2019,Insurance,France,0.9714609855907835,0.9714609855907835,178566.1666666667,187494,0.03,0.03,0.3,0.315,0.009,0.6805,0.012848124717585672,0.012848124717585672
2019,Insurance,Germany,100.56433848890431,150.84,178566.1666666667,187494,0.03,0.03,0.25,0.27,0.0075,0.6805,1.1083505344111422,1.6624540778839088
